Sample_code,Time,d13C,d15N,Sampled_CL_mm,Sampled_weight_g
LT.1.1.0,0,-12.500582,8.054610663,6,0.2036
LT.1.2.0,0,-12.59809551,8.127009005,6,0.1431
LT.1.3.0,0,-12.76511001,8.248750395,8,0.2218
LT.1.1.1,5,-13.63194734,8.689568497,10,0.4084
LT.1.2.1,5,-13.96031064,9.162303919,18,1.1821
LT.1.3.1,5,-13.79663059,9.653595166,10,0.3294
LT.1.4.1,5,-13.85712165,9.037511283,11,0.377
LT.1.1.2,12,-14.68866526,9.863280016,12,0.4398
LT.1.2.2,12,-14.1147854,9.054947443,14,0.5583
LT.1.3.2,12,-15.47205856,9.232730135,9,0.2477
LT.1.4.2,12,-14.88263937,9.994377664,19,1.2771
LT.1.5.2,12,-14.20006327,9.224374587,8,0.2258
LT.1.1.3,19,-15.1143345,9.846762176,10,0.3075
LT.1.2.3,19,-14.89808666,10.38130486,14,0.7028
LT.1.3.3,19,-13.24367592,7.828758676,9,0.6135
LT.1.4.3,19,-14.44886298,10.0334025,13,0.2353
LT.1.5.3,19,-14.11738279,9.298055133,8,0.2377
LT.1.1.4,26,-15.38977387,9.884592837,11,0.4592
LT.1.2.4,26,-15.7307321,9.468357057,8,0.1609
LT.1.3.4,26,-15.36869797,10.63580638,15,0.4935
LT.1.4.4,26,-16.24172759,10.87151717,18,1.2784
LT.1.5.4,26,-15.35432688,9.884353185,9,0.3047
LT.1.1.5,40,-15.44167814,10.01468351,18,0.8553
LT.1.2.5,40,-15.72123569,10.05985743,13,0.3767
LT.1.3.5,40,-16.15523187,10.51636188,22,1.9131
LT.1.4.5,40,-15.12329138,9.57094147,10,0.2443
LT.1.1.6,54,-17.13665308,11.01975011,17,0.7709
LT.1.2.6,54,-15.50767798,10.11402942,15,0.5565
LT.1.3.6,54,-15.52055941,10.13002572,14,0.5745
LT.1.4.6,54,-16.95696601,11.10676592,15,0.9332
LT.1.1.7,68,-16.18533755,8.765775232,9,0.7194
LT.1.2.7,68,-15.71638982,9.573680424,9,0.6519
LT.1.3.7,68,-16.27243912,9.934750509,8,0.5748
LT.1.1.8,82,-17.26267508,10.5041508,10,1.0145
LT.1.2.8,82,-16.76686525,10.28466769,14,1.414
LT.1.3.8,82,-15.38849072,9.618140199,7,0.2724
